label,sentence1,sentence2
1,Hơn 10 năm qua công nghệ thông tin đã trở thành ngành kinh tế mũi nhọn có tốc độ tăng trưởng và hiệu quả cao đóng góp trực tiếp gần 7% GDP của đất nước đồng thời có tác động lan tỏa thúc đẩy phát triển nhiều ngành nhiều lĩnh vực kinh tế - xã hội .,Hơn 10 năm qua công nghệ thông tin đã trở thành ngành kinh tế có tốc độ tăng trưởng cao đóng góp trực tiếp gần 7% GDP và là một lợi thế phát triển đặc biệt của Việt Nam .
1,Hạ tầng viễn thông và dịch vụ viễn thông Việt Nam đang từng bước phát triển để ngang tầm khu vực và thế giới .,Theo Thủ tướng hạ tầng viễn thông và dịch vụ viễn thông Việt Nam đã có vị trí trên bản đồ công nghệ thông tin thế giới .
1,Hà Nội và Thành phố Hồ Chí Minh đã lọt vào danh sách 10 thành phố mới nổi về gia công phần mềm .,Đáng chú ý hai thành phố Hà Nội và Tp.HCM đã lọt vào danh sách 10 thành phố mới nổi về gia công phần mềm .
1,Thủ tướng Nguyễn Tấn Dũng cũng nhấn mạnh công nghệ thông tin là một lợi thế phát triển đặc biệt của Việt Nam trên nền tảng nguồn nhân lực trẻ dồi dào và được đào tạo cơ bản .,Thủ tướng cho rằng công nghệ thông tin là một lợi thế phát triển đặc biệt của Việt Nam trên nền tảng nguồn nhân lực trẻ dồi dào và được đào tạo cơ bản .
1,Tiếp đó Chính phủ đã ban hành Chương trình hành động về xây dựng hệ thống kết cấu hạ tầng đồng bộ ứng dụng công nghệ thông tin để hiện đại hóa các lĩnh vực hạ tầng kinh tế xã hội và xây dựng kết cấu hạ tầng thông minh cho sự phát triển hiện đại .,Tiếp đó Chính phủ đã ban hành chương trình hành động về xây dựng hệ thống kết cấu hạ tầng đồng bộ ứng dụng công nghệ thông tin để hiện đại hóa các lĩnh vực hạ tầng kinh tế xã hội .
1,Thủ tướng yêu cầu phát triển và ứng dụng công nghệ thông tin trong sản xuất kinh doanh và quản lý hướng tới mục tiêu nâng cao toàn diện năng lực cạnh tranh quốc gia coi đây là con đường ngắn nhất để Việt Nam tiến kịp các nước phát triển tiến cùng thời đại .,Phát triển và ứng dụng công nghệ thông tin trong sản xuất kinh doanh và quản lý hướng tới mục tiêu nâng cao toàn diện năng lực cạnh tranh quốc gia coi đây là con đường ngắn nhất để Việt Nam tiến kịp các nước phát triển - tiến kịp thời đại .
1,Đồng thời cần xây dựng hệ thống hạ tầng thông tin quốc gia ban hành chuẩn thông tin quốc gia bảo đảm khả năng kết nối liên thông đồng bộ chú trọng công tác an ninh an toàn và bảo mật thông tin quốc gia .,- Xây dựng hệ thống hạ tầng thông tin quốc gia ban hành chuẩn thông tin quốc gia bảo đảm khả năng kết nối liên thông đồng bộ chú trọng công tác an ninh an toàn và bảo mật thông tin quốc gia .
1,Thủ tướng Nguyễn Tấn Dũng cũng yêu cầu phát triển và ứng dụng công nghệ thông tin được coi là nhiệm vụ quan trọng của toàn bộ hệ thống chính trị và xã hội .,- Phát triển và ứng dụng công nghệ thông tin được coi là nhiệm vụ quan trọng của toàn bộ hệ thống chính trị và xã hội .
1,Giá USD tự do duy trì xu thế giảm mạnh còn 21.250 đồng được cho là nguyên nhân kéo giá vàng xuống .,Các ngân hàng cho biết một trong những nguyên nhân khiến giá USD giảm là do cung cầu trên thị trường khá dồi dào .
1,Sáng nay giá vàng thế giới vẫn duy trì đà tăng nhưng do giá USD tự do giảm mạnh giá vàng không duy trì được mốc 37 triệu đồng lượng .,Tại thị trường châu Á sáng nay giá vàng hưởng ứng phiên Mỹ tiếp tục tăng thêm gần 3 USD lên 1.338 USD/ounce tương đương 3420 triệu đồng lượng .
