sentence1,sentence2,label
đá bóng cát biển,bóng_đá chân_không bãi biển,1
cầu_thủ ném bóng ném bóng,khán_giả theo_dõi cú ném bóng cầu_thủ ném bóng,1
cầu_thủ ném bóng áo đỏ chạy gôn cầu_thủ áo xám,đàn_ông bóng_chày sân,1
nam vận_động_viên tennis vợt đánh_bóng,đàn_ông đánh_quả bóng tennis,1
nam vận_động_viên tennis nhón chân phát_bóng,đàn_ông nhón chân đánh_quả bóng tennis,1
đàn_ông bóng_chày sân,cầu_thủ bóng_chày cú ném bóng sân,1
vận_động_viên tennis nam vung vợt đánh bóng,vận_động_viên tennis mặc áo trắng cú đánh_bóng vợt tennis,1
"hàng thàng công , yêu_quý công_việc hết_lòng",nhân_viên hàng bậc thầy duy_trì công_việc,0
phép lựa_chọn công_việc hoàn_thành hôm loại_bỏ công_việc hoàn_thành,"làm_việc kết_thúc tự_nhủ , hoàn_thành nốt công_việc ứ_đọng chiều ?",0
", học ưu_tiên ,","chỉnh_sửa danh_sách sắp_xếp mục ưu_tiên hôm , hôm tiết_kiệm công_việc khẩn_cấp",0
"thành_tựu hôm_nay , giải_pháp tỉnh_thành áp_dụng , đà_nẵng chiêu hề tiền_lệ , góp_phần phát_triển kinh_tế mạnh_mẽ ổn_định đời_sống xã_hội","liên_tục hạng tốc_độ phát_triển kinh_tế đà_nẵng duy_trì an_ninh trật_tự , lang_thang , nghiện ma_túy cộng_đồng hiếm xảy kẹt xe",0
"dừng bạn_bè , thầy , người_thân gia_đình trẻ từ_ngữ vô_học công_kích mạng","cạnh trẻ động_viên , , an_ủi comment tiếc gạch đá ném phóng_viên",0
hình_ảnh trận_đấu tennis diễn,vận_động_viên tennis quan_sát bóng trận,1
phụ_nữ áo trắng tennis sân,vận_động_viên tennis nữ vung vợt tennis đánh bóng,1
", bản_địa quý , hương_vị việt_nam , lãng_quên , vĩnh_viễn biến",phát_triển hoạt_động ngành_nghề nông_thôn,0
"mạng , vốn doanh_nghiệp , kiểm_tra , kiểm_soát hoạt_động doanh_nghiệp","dịch_vụ trang_web nước_ngoài , đối_tượng gắn nhãn nhắn đầu doanh_nghiệp di_động gửi mạng di_động",0
cầu_thủ bóng_chày cầm gậy đỡ bóng sân_nhà,cầu_thủ bóng_chày vung gậy bóng_chày đánh bóng,1
"biển , mây đen ầm_ầm kéo bao_phủ kín bầu_trời","biển , mây đen sầm_sập kéo nhanh_chóng bao_phủ kín bầu_trời",1
"hiện dân chất_lượng đồ_chơi trẻ_em đồ_chơi kém chất_lượng , đảm_bảo_an_toàn bày tràn_lan thị_trường",", ghi_nhận phóng_viên báo_công_thương , cửa_hàng đồ_chơi tuyến phố hà_nội mặc_nhiên bày hàng_hóa tem , nhãn_mác",1
nghiên_cứu phụ_nữ việt nam lãnh_vực đi_sâu,"đẹp phụ_nữ việt_nam đẹp tâm_hồn , đó_tỏa muôn mặt đời_sống xã_hội",0
bốn cầu_thủ bóng_chày cạnh sân,đàn_ông sân gậy bóng_chày,1
đàn_ông áo trắng bóng_chày sân,đàn_ông cầm gậy bóng_chày đánh_bóng_chày trời nắng,1
khả_năng đi ủng_hộ chính_phủ kỳ bầu_cử mùa xuân 2015,nguy_cơ ủng_hộ chính_phủ kỳ bầu_cử mùa xuân 2015,1
đàn_ông vung vợt đánh_quả bóng tennis sân,nam vận_động_viên tennis đánh_bóng,1
phụ_nữ vung gậy đánh_quả bóng_chày,nữ cầu_thủ đánh_bóng vung gậy đánh_bóng,1
"thao giảng nhân lễ , thao giảng thi giáo_viên giỏi trường , thầy phím bất_hợp_tác , dạy đồng_nghiệp","hiện_tượng ? trường , bảy , tám , nhà_trường , đoàn thanh_niên phát_động phong_trào thi_đua dạy học nhân lễ tinh_thần_học_tập , hăng_hái phát_biểu lớp học_sinh khí_thế hào_hứng sôi_nổi hẳn !",0
"đường lý thắng , 3 hiệu giày , dép nổi_tiếng sài_gòn chia thành chủng_loại dễ_dàng giày ưa_chuộng","phong_cách chất_lượng đường lý thắng , 3 , hiệu giày , dép nổi_tiếng sài_gòn chia thành chủng_loại dễ_dàng giày ưa_chuộng",1
đàn_ông cầm vợt tennis đánh tennis sân,đàn_ông cầm vợ tennis đỡ bóng,1
olin mc gill đồng_tình,olin mc gill đồng_tình,1
phụ_nữ đánh tennis sân,phụ_nữ áo trắng tennnis sân,1
"ngọc tham_gia chiến_dịch chiến_dịch tiếp_sức mùa thi , mùa hè xanh , vệ_sinh môi_trường","lĩnh_vực tham_gia phong_phú chiến_dịch tiếp_sức mùa thi , mùa hè xanh , vệ_sinh môi_trường",1
bé luyện_tập tennis ngoài_trời,bé cầm vợt tennis đi_ở sân,1
bé luyện_tập tennis huấn_luyện_viên sân ban_ngày,bé luyện_tập tennis mẹ sân ban_ngày,1
", facebook khu_vực bạn_bè làm_quen thể_hiện đầy_đủ thông_tin cơ_bản , , giới_tính , địa_chỉ ( sinh_sống , làm_việc ) , công_việc học , tham_gia","minh facebook , cập_nhật thông_tin bạn_bè , người_thân , hình_ảnh , trạng_thái hiển_thị , cũ 2 , 3",0
"nghiện ma_túy , phát_hiện đà_nẵng kiên_quyết đi cai_nghiện xã_hội tệ_nạn , móc_túi , cướp_giật cướp giết","liên_tục hạng tốc_độ phát_triển kinh_tế đà_nẵng duy_trì an_ninh trật_tự , lang_thang , nghiện ma_túy cộng_đồng hiếm xảy kẹt xe",0
"hiện nga 4 lô hàng việt_nam 11 12 , đợt 2 8 giao nốt 2015","rõ_ràng cơ_sở lo_ngại sức_mạnh hạm_đội việt_nam lực_lượng đầu_tư chuyên_sâu , sức_mạnh tầm hà_nội đảm_nhận xuất_sắc",0
vận_động_viên tennis nữ cầm vợt thi_đấu sân,phụ_nữ áo trắng tennis san,1
thói_quen thành_đạt bình_thường ?,"hiệu_quả , giàu_có",0
bé gác gậy vai đứng sân,bé luyện_tập bóng_chày sân,1
"hệ_thống cơ_sở đào_tạo trung_học tccn , tc nghề đáp_ứng nổi nhu_cầu học_tập hs tốt_nghiệp thpt hs tốt_nghiệp xong đh , cđ nghề_nghiệp ổn_định","tỉ_lệ sinh hàng , số_lượng thí_sinh tốt_nghiệp thpt hằng , số_lượng đại_học hàng đi du_học đi xuất_khẩu lao_động lắm",0
nam vận_động_viên tennis nhảy đánh_bóng,hai nam vận_động_viên tennis thi_đấu sân,1
khán_giả theo_dõi diễn_biến trận thi_đấu bóng_chày nam,cầu_thủ đánh_bóng giơ gậy gôn,1
phê_bình putin tổng_thống nga dự_báo,phê_bình putin mạnh_mẽ tổng_thống nga lường,1
hai cầu_thủ bóng_chày đan tranh tài sân,hai cầu_thủ bóng_chày tranh bóng sân,1
", sự_kiện hoá_chất cấm nuôi_trồng , chế_biến nông thủy_sản , thực_phẩm , sản_xuất sản_phẩm kém chất_lượng quy_trình chế_biến nhiễm_độc môi_trường , ảnh_hưởng xấu xuất_khẩu tiêu dung việt_nam","yếu_tố đồng_bộ ứng_dụng qui_trình thực_hành nông_nghiệp dây_chuyền sản_xuất thực_phẩm dây_chuyền sản_xuất thực_phẩm , nông_sản nuôi_trồng thu_hoạch , giết_mổ , chế_biến , nằm bàn , thực_phẩm đi khâu bao_bì , giao_thông , bày",0
"xác_định lựa_chọn thông_qua , gia_đình yếu_tố hoàn_cảnh đường phù_hợp_nhất",", trẻ yêu_quý cảm_phục tài_chính tài_ba câu bất_hủ bay đại_bàng bầy gà , thành_công học_hỏi thành_công phương_pháp làm_giàu bất_hủ 6 giàu , giỏi , gọi điện 1",0
"tiền mua xe ,","nợ tiền , ưu_tiên nợ",0
", chất_lượng hàng nông thủy_sản , thực_phẩm việt_nam tiêu_dùng xuất_khẩu nhiễm vi_sinh , chứa hóa_chất cấm , hóa_chất danh_mục phép , nhiễm hóa_chất giới_hạn phép ảnh_hưởng tính_mạng , sức_khỏe tiêu_dùng","nhật cảnh_báo cấm nhập_khẩu hàng thuỷ_sản báo_động nghiêm_trọng , cương_quyết giải_quyết dứt_điểm , việt nam đi hàng tỷ đô_la xuất_khẩu , thương_hiệu uy_tín mặt_hàng thủy_sản made in viet nam thương_tổn , phản_ứng dây_chuyền kéo_theo mặt_hàng nông_sản_xuất_khẩu gạo , cà_phê , trà , hạt , tiêu vốn mặt_hàng xuất_khẩu chủ_lực việt_nam , chiếm 20 tổng_kim_ngạch xuất_khẩu , hậu_quả cực_kỳ nghiêm_trọng",0
"tính_năng ưu_việt nga xuất_khẩu , mua",truyền_thông trung quốc viết sức_mạnh quân_sự việt nam,0
